Startzeit;Endzeit;PM10;PM2.5;Ozon;CO;NO2;NO
"28.03.2024 00:00";"29.03.2024 00:00";5.07;2.96;41.08;;25.41;9.54
"29.03.2024 00:00";"30.03.2024 00:00";62.58;18.45;47.80;;11.04;3.10
"30.03.2024 00:00";"31.03.2024 00:00";97.45;27.23;45.48;;13.95;4.31
"31.03.2024 00:00";"01.04.2024 00:00";9.95;4.73;47.46;;9.75;2.11
"01.04.2024 00:00";"02.04.2024 00:00";2.79;1.91;46.07;;7.86;1.82
"02.04.2024 00:00";"03.04.2024 00:00";4.65;2.55;47.21;;18.17;6.09
"03.04.2024 00:00";"04.04.2024 00:00";7.06;3.12;40.87;;23.61;8.06
"04.04.2024 00:00";"05.04.2024 00:00";6.21;3.03;42.76;;16.26;5.61
"05.04.2024 00:00";"06.04.2024 00:00";11.29;5.27;41.74;;30.96;12.61
"06.04.2024 00:00";"07.04.2024 00:00";11.58;5.84;44.00;;27.77;6.60
"07.04.2024 00:00";"08.04.2024 00:00";27.55;9.17;45.86;;17.50;3.01
"08.04.2024 00:00";"09.04.2024 00:00";67.66;19.09;51.02;;24.08;8.90
"09.04.2024 00:00";"10.04.2024 00:00";23.60;7.47;47.90;;17.40;5.98
"10.04.2024 00:00";"11.04.2024 00:00";8.03;4.12;41.41;;18.79;6.49
"11.04.2024 00:00";"12.04.2024 00:00";9.66;6.21;32.27;;19.87;7.04
"12.04.2024 00:00";"13.04.2024 00:00";15.27;9.41;36.82;;25.35;10.63
"13.04.2024 00:00";"14.04.2024 00:00";17.05;10.15;44.06;;25.27;4.55
"14.04.2024 00:00";"15.04.2024 00:00";10.51;6.01;41.86;;17.00;2.81
"15.04.2024 00:00";"16.04.2024 00:00";11.70;5.60;41.09;;16.67;9.84
"16.04.2024 00:00";"17.04.2024 00:00";4.63;2.65;47.29;;16.26;5.70
"17.04.2024 00:00";"18.04.2024 00:00";3.62;2.70;41.83;;18.18;7.58
"18.04.2024 00:00";"19.04.2024 00:00";4.56;3.47;41.57;;18.21;5.71
"19.04.2024 00:00";"20.04.2024 00:00";5.85;4.38;43.87;;15.30;5.36
"20.04.2024 00:00";"21.04.2024 00:00";4.28;3.37;40.45;;16.08;4.96
"21.04.2024 00:00";"22.04.2024 00:00";4.48;3.71;41.08;;14.94;3.85
"22.04.2024 00:00";"23.04.2024 00:00";11.34;7.80;39.36;;27.58;15.42
"23.04.2024 00:00";"24.04.2024 00:00";13.82;10.55;38.98;;31.50;15.05
"24.04.2024 00:00";"25.04.2024 00:00";11.02;9.25;44.70;;21.21;6.85
"25.04.2024 00:00";"26.04.2024 00:00";7.73;5.86;45.65;;20.10;5.82
"26.04.2024 00:00";"27.04.2024 00:00";19.98;8.68;44.56;;30.67;10.53
"27.04.2024 00:00";"28.04.2024 00:00";6.51;4.07;46.01;;18.76;5.14
"28.04.2024 00:00";"29.04.2024 00:00";4.97;2.64;50.41;;10.05;2.17
"29.04.2024 00:00";"30.04.2024 00:00";12.21;5.48;45.35;;25.72;7.39
"30.04.2024 00:00";"01.05.2024 00:00";53.06;17.01;49.61;;22.36;6.77
"01.05.2024 00:00";"02.05.2024 00:00";25.86;12.54;57.42;;29.78;9.86
"02.05.2024 00:00";"03.05.2024 00:00";13.17;6.89;40.47;;21.49;7.19
"03.05.2024 00:00";"04.05.2024 00:00";6.98;4.22;39.40;;18.40;7.03
"04.05.2024 00:00";"05.05.2024 00:00";11.55;8.93;35.11;;16.06;4.51
"05.05.2024 00:00";"06.05.2024 00:00";6.48;3.59;35.67;;12.28;2.82
"06.05.2024 00:00";"07.05.2024 00:00";6.99;3.36;37.74;;18.16;5.88
"07.05.2024 00:00";"08.05.2024 00:00";5.96;4.05;37.87;;21.64;7.69
"08.05.2024 00:00";"09.05.2024 00:00";19.66;10.14;37.39;;24.49;12.61
"09.05.2024 00:00";"10.05.2024 00:00";10.87;8.53;31.47;;12.59;4.39
"10.05.2024 00:00";"11.05.2024 00:00";11.90;8.57;39.81;;17.66;5.76
"11.05.2024 00:00";"12.05.2024 00:00";13.45;9.65;45.65;;17.95;3.48
"12.05.2024 00:00";"13.05.2024 00:00";10.79;7.44;50.89;;14.94;2.53
"13.05.2024 00:00";"14.05.2024 00:00";8.07;4.59;46.86;;19.13;5.48
"14.05.2024 00:00";"15.05.2024 00:00";14.36;5.85;46.61;;23.98;8.93
"15.05.2024 00:00";"16.05.2024 00:00";13.97;9.39;41.93;;19.24;5.56
"16.05.2024 00:00";"17.05.2024 00:00";8.52;4.00;45.36;;18.44;5.88
"17.05.2024 00:00";"18.05.2024 00:00";4.73;2.98;40.64;;14.09;5.06
"18.05.2024 00:00";"19.05.2024 00:00";6.81;4.11;36.76;;15.83;5.34
"19.05.2024 00:00";"20.05.2024 00:00";5.17;3.56;36.22;;10.91;1.96
"20.05.2024 00:00";"21.05.2024 00:00";6.19;4.20;39.69;;16.22;3.97
"21.05.2024 00:00";"22.05.2024 00:00";4.93;3.19;44.45;;20.18;4.72
"22.05.2024 00:00";"23.05.2024 00:00";5.33;3.23;44.81;;19.59;5.93
"23.05.2024 00:00";"24.05.2024 00:00";6.27;3.86;38.13;;20.96;6.57
"24.05.2024 00:00";"25.05.2024 00:00";8.47;3.96;38.61;;22.57;8.14
"25.05.2024 00:00";"26.05.2024 00:00";6.31;4.45;37.88;;16.66;5.75
"26.05.2024 00:00";"27.05.2024 00:00";6.88;4.73;39.27;;15.48;3.29
"27.05.2024 00:00";"28.05.2024 00:00";9.45;5.68;38.96;;22.34;9.41
"28.05.2024 00:00";"29.05.2024 00:00";6.30;3.86;41.75;;16.96;5.01
"29.05.2024 00:00";"30.05.2024 00:00";7.43;4.71;34.53;;23.47;7.12
"30.05.2024 00:00";"31.05.2024 00:00";4.53;2.86;31.55;;16.23;6.66
"31.05.2024 00:00";"01.06.2024 00:00";3.77;2.56;39.07;;22.97;7.70
"01.06.2024 00:00";"02.06.2024 00:00";3.79;2.95;35.62;;12.00;2.40
"02.06.2024 00:00";"03.06.2024 00:00";4.93;3.68;32.88;;11.61;3.23
"03.06.2024 00:00";"04.06.2024 00:00";8.63;6.77;31.70;;22.95;9.19
"04.06.2024 00:00";"05.06.2024 00:00";10.17;7.46;37.09;;16.92;6.11
"05.06.2024 00:00";"06.06.2024 00:00";11.83;7.50;44.19;;18.24;6.14
"06.06.2024 00:00";"07.06.2024 00:00";13.16;8.66;43.55;;22.97;7.91
"07.06.2024 00:00";"08.06.2024 00:00";10.90;7.60;44.94;;19.78;5.30
"08.06.2024 00:00";"09.06.2024 00:00";12.08;8.35;36.53;;15.15;4.04
"09.06.2024 00:00";"10.06.2024 00:00";12.26;6.71;42.43;;12.57;2.73
"10.06.2024 00:00";"11.06.2024 00:00";9.28;5.85;42.68;;16.78;4.75
"11.06.2024 00:00";"12.06.2024 00:00";6.52;4.06;34.00;;15.56;5.05
"12.06.2024 00:00";"13.06.2024 00:00";10.11;5.41;39.44;;19.05;8.09
"13.06.2024 00:00";"14.06.2024 00:00";11.28;7.32;42.84;;19.27;5.50
"14.06.2024 00:00";"15.06.2024 00:00";10.58;7.75;42.15;;21.13;5.95
"15.06.2024 00:00";"16.06.2024 00:00";5.67;3.98;31.93;;12.80;3.87
"16.06.2024 00:00";"17.06.2024 00:00";5.71;3.95;33.54;;9.13;2.40
"17.06.2024 00:00";"18.06.2024 00:00";8.10;4.22;33.55;;19.85;7.33
"18.06.2024 00:00";"19.06.2024 00:00";10.39;5.41;39.09;;22.01;9.28
"19.06.2024 00:00";"20.06.2024 00:00";19.90;10.14;50.75;;21.03;4.98
"20.06.2024 00:00";"21.06.2024 00:00";24.31;16.08;32.06;;16.84;14.16
"21.06.2024 00:00";"22.06.2024 00:00";17.09;9.04;42.04;;22.44;6.15
"22.06.2024 00:00";"23.06.2024 00:00";5.50;4.02;40.13;;10.12;2.80
"23.06.2024 00:00";"24.06.2024 00:00";4.89;3.58;31.90;;10.33;10.14
"24.06.2024 00:00";"25.06.2024 00:00";15.55;8.51;38.73;;23.59;11.56
"25.06.2024 00:00";"26.06.2024 00:00";16.29;10.47;37.98;;19.81;6.08
"26.06.2024 00:00";"27.06.2024 00:00";11.18;6.74;43.25;;19.48;6.50
"27.06.2024 00:00";"28.06.2024 00:00";12.01;8.21;47.29;;17.71;4.09
"28.06.2024 00:00";"29.06.2024 00:00";12.79;9.15;46.86;;19.91;5.02
"29.06.2024 00:00";"30.06.2024 00:00";38.19;17.12;38.10;;17.12;3.50
"30.06.2024 00:00";"01.07.2024 00:00";10.38;5.53;37.53;;9.03;1.99
"01.07.2024 00:00";"02.07.2024 00:00";5.85;3.61;40.30;;15.09;4.77
"02.07.2024 00:00";"03.07.2024 00:00";7.82;5.28;36.61;;17.43;6.00
"03.07.2024 00:00";"04.07.2024 00:00";5.70;3.85;31.18;;15.62;6.46
"04.07.2024 00:00";"05.07.2024 00:00";6.39;3.93;36.16;;15.79;5.36
"05.07.2024 00:00";"06.07.2024 00:00";10.65;5.03;37.82;;17.57;6.23
"06.07.2024 00:00";"07.07.2024 00:00";8.26;5.32;36.35;;13.16;3.51
"07.07.2024 00:00";"08.07.2024 00:00";4.33;3.00;30.19;;7.69;2.69
"08.07.2024 00:00";"09.07.2024 00:00";12.89;5.06;30.78;;18.58;11.99
"09.07.2024 00:00";"10.07.2024 00:00";12.95;6.62;36.69;;23.42;9.98
"10.07.2024 00:00";"11.07.2024 00:00";13.37;7.95;42.19;;17.59;5.62
"11.07.2024 00:00";"12.07.2024 00:00";16.71;8.66;33.50;;19.09;6.96
"12.07.2024 00:00";"13.07.2024 00:00";8.45;5.16;37.96;;15.68;5.42
"13.07.2024 00:00";"14.07.2024 00:00";5.73;4.00;33.43;;9.98;2.86
"14.07.2024 00:00";"15.07.2024 00:00";6.23;4.39;33.51;;10.27;2.48
"15.07.2024 00:00";"16.07.2024 00:00";13.03;6.54;40.92;;20.04;7.10
"16.07.2024 00:00";"17.07.2024 00:00";7.38;4.44;37.72;;13.61;4.40
"17.07.2024 00:00";"18.07.2024 00:00";9.63;5.23;33.15;;14.86;4.79
"18.07.2024 00:00";"19.07.2024 00:00";11.41;7.84;32.03;;12.17;4.63
"19.07.2024 00:00";"20.07.2024 00:00";20.28;11.39;43.55;;20.50;5.92
"20.07.2024 00:00";"21.07.2024 00:00";16.63;11.14;49.20;;12.84;2.10
"21.07.2024 00:00";"22.07.2024 00:00";11.13;7.59;45.28;;7.44;0.75
"22.07.2024 00:00";"23.07.2024 00:00";5.46;3.73;37.11;;11.18;2.97
"23.07.2024 00:00";"24.07.2024 00:00";8.26;5.20;34.69;;10.82;3.32
"24.07.2024 00:00";"25.07.2024 00:00";10.22;5.21;34.39;;14.16;9.36
"25.07.2024 00:00";"26.07.2024 00:00";10.92;7.00;38.58;;16.52;6.55
"26.07.2024 00:00";"27.07.2024 00:00";12.81;7.79;48.09;;14.67;3.39
"27.07.2024 00:00";"28.07.2024 00:00";14.18;9.26;46.93;;11.89;2.02
"28.07.2024 00:00";"29.07.2024 00:00";8.27;6.43;35.02;;7.56;1.27
"29.07.2024 00:00";"30.07.2024 00:00";11.02;7.65;38.30;;12.99;4.70
"30.07.2024 00:00";"31.07.2024 00:00";14.07;9.13;40.69;;19.10;6.59
"31.07.2024 00:00";"01.08.2024 00:00";23.67;10.84;48.98;;18.14;4.83
"01.08.2024 00:00";"02.08.2024 00:00";12.94;9.07;40.99;;6.79;0.60
"02.08.2024 00:00";"03.08.2024 00:00";12.62;8.66;47.29;;12.02;2.46
"03.08.2024 00:00";"04.08.2024 00:00";11.16;8.05;42.14;;8.67;1.49
"04.08.2024 00:00";"05.08.2024 00:00";10.59;8.24;37.41;;6.72;1.16
"05.08.2024 00:00";"06.08.2024 00:00";9.09;6.05;35.03;;14.14;5.33
"06.08.2024 00:00";"07.08.2024 00:00";16.08;8.69;42.09;;20.31;5.73
"07.08.2024 00:00";"08.08.2024 00:00";8.96;6.06;43.06;;16.61;3.84
"08.08.2024 00:00";"09.08.2024 00:00";10.22;7.47;32.81;;15.25;3.82
"09.08.2024 00:00";"10.08.2024 00:00";9.67;6.38;38.81;;15.19;4.97
"10.08.2024 00:00";"11.08.2024 00:00";9.80;6.08;38.46;;12.57;2.44
"11.08.2024 00:00";"12.08.2024 00:00";11.49;8.24;40.53;;11.04;1.62
"12.08.2024 00:00";"13.08.2024 00:00";14.19;8.92;46.14;;20.20;6.12
"13.08.2024 00:00";"14.08.2024 00:00";10.30;6.30;53.29;;19.96;4.73
"14.08.2024 00:00";"15.08.2024 00:00";8.90;5.97;51.80;;18.14;4.55
"15.08.2024 00:00";"16.08.2024 00:00";12.36;7.62;48.52;;22.15;6.36
"16.08.2024 00:00";"17.08.2024 00:00";14.82;9.41;50.09;;21.98;5.80
"17.08.2024 00:00";"18.08.2024 00:00";9.36;6.94;35.23;;11.76;2.97
"18.08.2024 00:00";"19.08.2024 00:00";5.61;4.09;33.13;;7.97;1.51
"19.08.2024 00:00";"20.08.2024 00:00";9.76;6.73;36.59;;17.45;6.28
"20.08.2024 00:00";"21.08.2024 00:00";9.74;6.69;28.17;;15.23;7.57
"21.08.2024 00:00";"22.08.2024 00:00";10.62;7.97;40.53;;16.14;4.52
"22.08.2024 00:00";"23.08.2024 00:00";12.24;7.95;34.92;;17.85;5.41
"23.08.2024 00:00";"24.08.2024 00:00";13.16;9.21;43.31;;22.07;5.25
"24.08.2024 00:00";"25.08.2024 00:00";14.20;9.79;47.48;;19.28;3.23
"25.08.2024 00:00";"26.08.2024 00:00";6.69;5.03;36.44;;9.16;2.32
"26.08.2024 00:00";"27.08.2024 00:00";13.50;6.65;27.20;;16.09;7.82
"27.08.2024 00:00";"28.08.2024 00:00";11.85;7.94;24.37;;16.53;8.08
"28.08.2024 00:00";"29.08.2024 00:00";14.35;8.69;34.58;;23.14;10.64
"29.08.2024 00:00";"30.08.2024 00:00";16.69;10.58;46.92;;29.46;8.72
"30.08.2024 00:00";"31.08.2024 00:00";18.60;12.22;47.51;;26.63;7.42
"31.08.2024 00:00";"01.09.2024 00:00";18.25;13.96;46.08;;18.87;3.57
"01.09.2024 00:00";"02.09.2024 00:00";17.10;13.51;46.33;;14.14;2.28
"02.09.2024 00:00";"03.09.2024 00:00";12.69;7.60;46.75;;22.41;5.61
"03.09.2024 00:00";"04.09.2024 00:00";19.84;10.12;45.96;;28.24;8.51
"04.09.2024 00:00";"05.09.2024 00:00";12.52;7.69;44.45;;17.50;4.66
"05.09.2024 00:00";"06.09.2024 00:00";12.87;7.89;34.95;;22.46;10.25
"06.09.2024 00:00";"07.09.2024 00:00";7.25;4.00;35.93;;16.56;6.07
"07.09.2024 00:00";"08.09.2024 00:00";9.48;6.08;36.28;;17.43;5.56
"08.09.2024 00:00";"09.09.2024 00:00";9.63;5.58;35.89;;10.64;2.96
"09.09.2024 00:00";"10.09.2024 00:00";4.57;2.73;39.31;;19.27;10.13
"10.09.2024 00:00";"11.09.2024 00:00";6.86;4.62;37.15;;22.41;9.37
"11.09.2024 00:00";"12.09.2024 00:00";9.10;5.70;31.31;;16.07;7.40
"12.09.2024 00:00";"13.09.2024 00:00";4.87;3.19;35.99;;17.38;7.39
"13.09.2024 00:00";"14.09.2024 00:00";5.74;4.28;30.53;;17.77;8.55
"14.09.2024 00:00";"15.09.2024 00:00";5.54;4.25;28.34;;11.51;3.94
"15.09.2024 00:00";"16.09.2024 00:00";5.85;4.30;28.48;;10.53;3.21
"16.09.2024 00:00";"17.09.2024 00:00";5.58;3.99;33.31;;20.45;7.19
"17.09.2024 00:00";"18.09.2024 00:00";10.43;4.07;29.03;;17.53;8.10
"18.09.2024 00:00";"19.09.2024 00:00";12.40;5.83;23.92;;18.14;8.78
"19.09.2024 00:00";"20.09.2024 00:00";17.20;10.38;27.69;;18.54;7.99
"20.09.2024 00:00";"21.09.2024 00:00";21.69;12.94;31.41;;24.38;12.35
"21.09.2024 00:00";"22.09.2024 00:00";15.59;11.47;30.87;;17.90;6.27
"22.09.2024 00:00";"23.09.2024 00:00";12.29;9.22;32.77;;14.03;3.28
"23.09.2024 00:00";"24.09.2024 00:00";12.36;8.49;35.13;;19.69;7.40
"24.09.2024 00:00";"25.09.2024 00:00";6.98;4.35;40.39;;14.97;6.53
"25.09.2024 00:00";"26.09.2024 00:00";10.02;5.65;35.88;;20.63;9.04
"26.09.2024 00:00";"27.09.2024 00:00";4.65;3.06;33.80;;17.69;7.34
"27.09.2024 00:00";"28.09.2024 00:00";4.87;2.63;35.53;;18.68;9.74
"28.09.2024 00:00";"29.09.2024 00:00";3.79;2.79;30.55;;9.24;3.38
"29.09.2024 00:00";"30.09.2024 00:00";4.57;3.38;26.96;;11.08;4.75
"30.09.2024 00:00";"01.10.2024 00:00";7.77;3.57;27.69;;20.57;8.62
"01.10.2024 00:00";"02.10.2024 00:00";6.61;4.22;32.12;;21.52;12.19
"02.10.2024 00:00";"03.10.2024 00:00";10.82;4.20;32.31;;17.23;7.39
"03.10.2024 00:00";"04.10.2024 00:00";18.02;8.11;25.42;;18.22;12.67
"04.10.2024 00:00";"05.10.2024 00:00";11.66;6.09;27.26;;19.51;14.31
"05.10.2024 00:00";"06.10.2024 00:00";7.19;5.37;24.30;;13.72;6.38
"06.10.2024 00:00";"07.10.2024 00:00";7.43;5.93;15.85;;10.64;5.05
"07.10.2024 00:00";"08.10.2024 00:00";14.02;5.04;22.81;;23.25;13.81
"08.10.2024 00:00";"09.10.2024 00:00";8.07;3.60;28.93;;20.98;9.36
"09.10.2024 00:00";"10.10.2024 00:00";8.31;3.19;31.13;;20.83;14.71
"10.10.2024 00:00";"11.10.2024 00:00";16.36;4.38;34.81;;17.95;8.33
"11.10.2024 00:00";"12.10.2024 00:00";6.59;4.50;32.53;;26.95;14.06
"12.10.2024 00:00";"13.10.2024 00:00";8.38;6.18;16.83;;17.68;8.69
"13.10.2024 00:00";"14.10.2024 00:00";5.69;4.09;29.50;;12.93;4.30
"14.10.2024 00:00";"15.10.2024 00:00";11.65;5.46;25.54;;23.53;20.45
"15.10.2024 00:00";"16.10.2024 00:00";14.69;6.94;21.26;;28.55;19.74
"16.10.2024 00:00";"17.10.2024 00:00";12.33;7.46;12.29;;20.78;19.50
"17.10.2024 00:00";"18.10.2024 00:00";13.52;7.08;19.13;;28.07;26.03
"18.10.2024 00:00";"19.10.2024 00:00";13.20;8.35;20.09;;22.54;14.37
"19.10.2024 00:00";"20.10.2024 00:00";11.55;7.66;17.95;;20.21;10.49
"20.10.2024 00:00";"21.10.2024 00:00";11.61;9.35;17.11;;14.02;6.36
"21.10.2024 00:00";"22.10.2024 00:00";14.93;6.93;20.20;;27.00;24.87
"22.10.2024 00:00";"23.10.2024 00:00";11.43;6.25;25.71;;24.69;10.06
"23.10.2024 00:00";"24.10.2024 00:00";9.73;6.04;21.20;;21.10;15.56
"24.10.2024 00:00";"25.10.2024 00:00";9.40;5.76;13.20;;16.42;11.58
"25.10.2024 00:00";"26.10.2024 00:00";9.91;6.33;13.54;;22.43;21.18
"26.10.2024 00:00";"27.10.2024 00:00";8.78;6.90;11.55;;15.04;9.81
"27.10.2024 00:00";"28.10.2024 00:00";11.06;8.40;16.81;;17.13;7.05
"28.10.2024 00:00";"29.10.2024 00:00";17.93;9.73;19.37;;25.55;18.95
"29.10.2024 00:00";"30.10.2024 00:00";27.69;13.97;15.84;;25.16;30.33
"30.10.2024 00:00";"31.10.2024 00:00";13.88;9.01;15.29;;24.91;27.39
"31.10.2024 00:00";"01.11.2024 00:00";10.91;8.45;14.76;;20.31;10.84
"01.11.2024 00:00";"02.11.2024 00:00";10.42;7.25;15.10;;21.40;10.85
"02.11.2024 00:00";"03.11.2024 00:00";12.60;9.33;15.94;;17.24;9.00
"03.11.2024 00:00";"04.11.2024 00:00";10.98;9.49;13.21;;11.38;4.42
"04.11.2024 00:00";"05.11.2024 00:00";16.58;12.89;14.68;;19.47;13.53
"05.11.2024 00:00";"06.11.2024 00:00";24.07;12.45;14.10;;24.97;38.88
"06.11.2024 00:00";"07.11.2024 00:00";26.79;12.13;22.31;;32.02;32.71
"07.11.2024 00:00";"08.11.2024 00:00";20.29;13.52;17.71;;23.60;13.72
"08.11.2024 00:00";"09.11.2024 00:00";21.77;14.07;16.11;;22.31;14.49
"09.11.2024 00:00";"10.11.2024 00:00";13.73;11.85;13.64;;22.03;12.88
"10.11.2024 00:00";"11.11.2024 00:00";9.64;8.99;15.50;;18.26;7.74
"11.11.2024 00:00";"12.11.2024 00:00";13.22;10.48;16.69;;21.20;10.81
"12.11.2024 00:00";"13.11.2024 00:00";15.95;9.72;23.18;;23.32;15.84
"13.11.2024 00:00";"14.11.2024 00:00";17.38;13.11;19.23;;21.32;13.92
"14.11.2024 00:00";"15.11.2024 00:00";11.67;8.95;21.16;;22.51;10.64
"15.11.2024 00:00";"16.11.2024 00:00";12.06;7.00;21.93;;31.70;18.45
"16.11.2024 00:00";"17.11.2024 00:00";12.19;9.94;20.71;;33.66;22.11
"17.11.2024 00:00";"18.11.2024 00:00";12.36;9.26;30.21;;24.95;9.77
"18.11.2024 00:00";"19.11.2024 00:00";13.52;5.58;31.93;;18.64;6.10
"19.11.2024 00:00";"20.11.2024 00:00";3.96;2.29;35.96;;14.23;5.16
"20.11.2024 00:00";"21.11.2024 00:00";3.76;2.24;36.11;;18.88;7.10
"21.11.2024 00:00";"22.11.2024 00:00";9.26;3.65;36.14;;23.02;10.02
"22.11.2024 00:00";"23.11.2024 00:00";4.89;2.98;37.44;;21.30;8.00
"23.11.2024 00:00";"24.11.2024 00:00";6.47;4.91;37.42;;30.33;8.72
"24.11.2024 00:00";"25.11.2024 00:00";8.68;5.24;35.02;;44.55;20.03
"25.11.2024 00:00";"26.11.2024 00:00";12.95;5.81;41.02;;63.74;49.67
"26.11.2024 00:00";"27.11.2024 00:00";6.03;3.76;36.44;;29.20;6.65
"27.11.2024 00:00";"28.11.2024 00:00";11.91;6.89;30.38;;39.28;20.41
"28.11.2024 00:00";"29.11.2024 00:00";22.77;5.95;36.53;;25.64;5.86
"29.11.2024 00:00";"30.11.2024 00:00";10.31;7.40;28.13;;38.88;13.79
"30.11.2024 00:00";"01.12.2024 00:00";12.12;11.58;21.51;;24.18;7.84
"01.12.2024 00:00";"02.12.2024 00:00";13.36;12.74;22.17;;28.38;9.29
"02.12.2024 00:00";"03.12.2024 00:00";13.72;7.17;33.48;;51.60;46.80
"03.12.2024 00:00";"04.12.2024 00:00";5.07;2.95;34.69;;23.06;6.29
"04.12.2024 00:00";"05.12.2024 00:00";7.90;6.32;27.02;;30.03;8.35
"05.12.2024 00:00";"06.12.2024 00:00";10.35;8.23;27.44;;38.23;16.57
"06.12.2024 00:00";"07.12.2024 00:00";6.67;3.98;36.64;;20.27;6.96
"07.12.2024 00:00";"08.12.2024 00:00";6.03;3.45;34.30;;23.20;7.56
"08.12.2024 00:00";"09.12.2024 00:00";4.57;3.28;32.09;;19.19;4.38
"09.12.2024 00:00";"10.12.2024 00:00";12.70;9.12;23.31;;21.03;14.11
"10.12.2024 00:00";"11.12.2024 00:00";14.82;8.32;20.15;;22.37;16.52
"11.12.2024 00:00";"12.12.2024 00:00";13.35;10.29;23.15;;24.02;12.57
"12.12.2024 00:00";"13.12.2024 00:00";15.64;13.58;25.15;;21.87;7.93
"13.12.2024 00:00";"14.12.2024 00:00";17.99;16.23;23.47;;28.00;8.27
"14.12.2024 00:00";"15.12.2024 00:00";8.33;7.36;28.52;;26.76;6.36
"15.12.2024 00:00";"16.12.2024 00:00";4.98;4.42;29.43;;16.29;3.84
"16.12.2024 00:00";"17.12.2024 00:00";6.78;3.81;33.14;;33.25;13.02
"17.12.2024 00:00";"18.12.2024 00:00";11.68;6.92;31.56;;51.14;37.91
"18.12.2024 00:00";"19.12.2024 00:00";11.61;4.97;39.91;;55.39;37.90
"19.12.2024 00:00";"20.12.2024 00:00";6.41;3.53;36.57;;30.24;10.26
"20.12.2024 00:00";"21.12.2024 00:00";5.73;4.57;35.35;;23.38;7.22
"21.12.2024 00:00";"22.12.2024 00:00";5.13;3.01;38.87;;18.30;5.61
"22.12.2024 00:00";"23.12.2024 00:00";2.24;1.39;41.24;;10.73;2.09
"23.12.2024 00:00";"24.12.2024 00:00";4.45;2.91;38.28;;23.92;7.19
"24.12.2024 00:00";"25.12.2024 00:00";7.39;6.61;30.76;;22.09;4.31
"25.12.2024 00:00";"26.12.2024 00:00";9.23;8.46;29.66;;27.12;5.54
"26.12.2024 00:00";"27.12.2024 00:00";14.97;14.90;24.91;;27.55;5.84
"27.12.2024 00:00";"28.12.2024 00:00";19.32;19.45;22.43;;36.87;22.09
"28.12.2024 00:00";"29.12.2024 00:00";13.90;13.47;22.72;;40.27;39.06
"29.12.2024 00:00";"30.12.2024 00:00";10.44;8.58;23.80;;40.80;33.91
"30.12.2024 00:00";"31.12.2024 00:00";10.56;9.98;23.20;;40.97;25.34
"31.12.2024 00:00";"01.01.2025 00:00";17.84;17.16;29.18;;52.58;44.48
"01.01.2025 00:00";"02.01.2025 00:00";25.75;22.62;34.70;;48.49;20.07
"02.01.2025 00:00";"03.01.2025 00:00";8.67;3.24;37.85;;22.03;6.60
"03.01.2025 00:00";"04.01.2025 00:00";5.66;4.50;34.63;;22.62;4.90
"04.01.2025 00:00";"05.01.2025 00:00";9.12;8.50;32.80;;31.71;5.67
"05.01.2025 00:00";"06.01.2025 00:00";6.11;4.72;31.59;;37.66;16.83
"06.01.2025 00:00";"07.01.2025 00:00";6.19;3.94;36.74;;45.92;28.75
"07.01.2025 00:00";"08.01.2025 00:00";2.98;1.63;38.97;;16.89;5.43
"08.01.2025 00:00";"09.01.2025 00:00";4.73;2.75;35.25;;34.79;11.61
"09.01.2025 00:00";"10.01.2025 00:00";3.99;2.13;34.95;;26.29;12.65
"10.01.2025 00:00";"11.01.2025 00:00";7.00;4.94;35.03;;23.37;5.43
"11.01.2025 00:00";"12.01.2025 00:00";12.81;9.41;30.92;;22.84;6.80
"12.01.2025 00:00";"13.01.2025 00:00";14.80;11.32;29.71;;22.16;6.62
"13.01.2025 00:00";"14.01.2025 00:00";19.72;12.32;30.24;;31.21;14.52
"14.01.2025 00:00";"15.01.2025 00:00";22.65;19.89;25.63;;32.27;13.29
"15.01.2025 00:00";"16.01.2025 00:00";23.67;18.78;29.10;;38.82;18.27
"16.01.2025 00:00";"17.01.2025 00:00";16.69;13.29;27.57;;28.14;12.63
"17.01.2025 00:00";"18.01.2025 00:00";18.55;15.98;24.09;;24.97;11.73
"18.01.2025 00:00";"19.01.2025 00:00";20.92;19.27;22.55;;24.20;8.58
"19.01.2025 00:00";"20.01.2025 00:00";20.81;20.91;18.36;;27.73;17.64
"20.01.2025 00:00";"21.01.2025 00:00";19.92;12.21;29.97;;54.62;73.19
"21.01.2025 00:00";"22.01.2025 00:00";19.43;14.29;25.20;;45.83;55.75
"22.01.2025 00:00";"23.01.2025 00:00";16.12;13.90;25.56;;46.65;36.20
"23.01.2025 00:00";"24.01.2025 00:00";8.03;6.54;32.32;;38.69;12.26
"24.01.2025 00:00";"25.01.2025 00:00";11.75;6.16;33.63;;43.90;19.91
"25.01.2025 00:00";"26.01.2025 00:00";12.34;5.33;36.73;;39.26;12.61
"26.01.2025 00:00";"27.01.2025 00:00";5.60;2.81;39.41;;20.99;3.92
"27.01.2025 00:00";"28.01.2025 00:00";5.51;2.33;37.95;;24.07;6.53
"28.01.2025 00:00";"29.01.2025 00:00";2.89;1.76;36.90;;16.86;2.56
"29.01.2025 00:00";"30.01.2025 00:00";6.65;3.56;37.16;;21.92;7.48
"30.01.2025 00:00";"31.01.2025 00:00";10.54;5.10;32.71;;40.89;14.38
"31.01.2025 00:00";"01.02.2025 00:00";12.96;9.89;31.98;;25.74;12.15
